"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1810_C01_001E","Total!!Estimate!!Total civilian noninstitutionalized population"
"S1810_C01_001M","Total!!Margin of Error!!Total civilian noninstitutionalized population"
"S1810_C02_001E","With a disability!!Estimate!!Total civilian noninstitutionalized population"
"S1810_C02_001M","With a disability!!Margin of Error!!Total civilian noninstitutionalized population"
"S1810_C03_001E","Percent with a disability!!Estimate!!Total civilian noninstitutionalized population"
"S1810_C03_001M","Percent with a disability!!Margin of Error!!Total civilian noninstitutionalized population"
"S1810_C01_002E","Total!!Estimate!!Population under 5 years"
"S1810_C01_002M","Total!!Margin of Error!!Population under 5 years"
"S1810_C02_002E","With a disability!!Estimate!!Population under 5 years"
"S1810_C02_002M","With a disability!!Margin of Error!!Population under 5 years"
"S1810_C03_002E","Percent with a disability!!Estimate!!Population under 5 years"
"S1810_C03_002M","Percent with a disability!!Margin of Error!!Population under 5 years"
"S1810_C01_003E","Total!!Estimate!!With a hearing difficulty"
"S1810_C01_003M","Total!!Margin of Error!!With a hearing difficulty"
"S1810_C02_003E","With a disability!!Estimate!!With a hearing difficulty"
"S1810_C02_003M","With a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C03_003E","Percent with a disability!!Estimate!!With a hearing difficulty"
"S1810_C03_003M","Percent with a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C01_004E","Total!!Estimate!!With a vision difficulty"
"S1810_C01_004M","Total!!Margin of Error!!With a vision difficulty"
"S1810_C02_004E","With a disability!!Estimate!!With a vision difficulty"
"S1810_C02_004M","With a disability!!Margin of Error!!With a vision difficulty"
"S1810_C03_004E","Percent with a disability!!Estimate!!With a vision difficulty"
"S1810_C03_004M","Percent with a disability!!Margin of Error!!With a vision difficulty"
"S1810_C01_005E","Total!!Estimate!!Population 5 to 17 years"
"S1810_C01_005M","Total!!Margin of Error!!Population 5 to 17 years"
"S1810_C02_005E","With a disability!!Estimate!!Population 5 to 17 years"
"S1810_C02_005M","With a disability!!Margin of Error!!Population 5 to 17 years"
"S1810_C03_005E","Percent with a disability!!Estimate!!Population 5 to 17 years"
"S1810_C03_005M","Percent with a disability!!Margin of Error!!Population 5 to 17 years"
"S1810_C01_006E","Total!!Estimate!!With a hearing difficulty"
"S1810_C01_006M","Total!!Margin of Error!!With a hearing difficulty"
"S1810_C02_006E","With a disability!!Estimate!!With a hearing difficulty"
"S1810_C02_006M","With a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C03_006E","Percent with a disability!!Estimate!!With a hearing difficulty"
"S1810_C03_006M","Percent with a disability!!Margin of Error!!With a hearing difficulty"
"S1810_C01_007E","Total!!Estimate!!With a vision difficulty"
"S1810_C01_007M","Total!!Margin of Error!!With a vision difficulty"
"S1810_C02_007E","With a disability!!Estimate!!With a vision difficulty"
"S1810_C02_007M","With a disability!!Margin of Error!!With a vision difficulty"
"S1810_C03_007E","Percent with a disability!!Estimate!!With a vision difficulty"
"S1810_C03_007M","Percent with a disability!!Margin of Error!!With a vision difficulty"
"S1810_C01_008E","Total!!Estimate!!With a cognitive difficulty"
"S1810_C01_008M","Total!!Margin of Error!!With a cognitive difficulty"
"S1810_C02_008E","With a disability!!Estimate!!With a cognitive difficulty"
"S1810_C02_008M","With a disability!!Margin of Error!!With a cognitive difficulty"
"S1810_C03_008E","Percent with a disability!!Estimate!!With a cognitive difficulty"
"S1810_C03_008M","Percent with a disability!!Margin of Error!!With a cognitive difficulty"
"S1810_C01_009E","Total!!Estimate!!With an ambulatory difficulty"
"S1810_C01_009M","Total!!Margin of Error!!With an ambulatory difficulty"
"S1810_C02_009E","With a disability!!Estimate!!With an ambulatory difficulty"
"S1810_C02_009M","With a disability!!Margin of Error!!With an ambulatory difficulty"
"S1810_C03_009E","Percent with a disability!!Estimate!!With an ambulatory difficulty"
"S1810_C03_009M","Percent with a disability!!Margin of Error!!With an ambulatory difficulty"
"S1810_C01_010E","Total!!Estimate!!With a self-care difficulty"
"S1810_C01_010M","Total!!Margin of Error!!With a self-care difficulty"
"S1810_C02_010E","With a disability!!Estimate!!With a self-care difficulty"
"S1810_C02_010M","With a disability!!Margin of Error!!With a self-care difficulty"
