"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1602_C01_001E","Total!!Estimate!!All households"
"S1602_C01_001M","Total!!Margin of Error!!All households"
"S1602_C02_001E","Percent!!Estimate!!All households"
"S1602_C02_001M","Percent!!Margin of Error!!All households"
"S1602_C03_001E","Limited English-speaking households!!Estimate!!All households"
"S1602_C03_001M","Limited English-speaking households!!Margin of Error!!All households"
"S1602_C04_001E","Percent limited English-speaking households!!Estimate!!All households"
"S1602_C04_001M","Percent limited English-speaking households!!Margin of Error!!All households"
"S1602_C01_002E","Total!!Estimate!!Households speaking!!Spanish"
"S1602_C01_002M","Total!!Margin of Error!!Households speaking!!Spanish"
"S1602_C02_002E","Percent!!Estimate!!Households speaking!!Spanish"
"S1602_C02_002M","Percent!!Margin of Error!!Households speaking!!Spanish"
"S1602_C03_002E","Limited English-speaking households!!Estimate!!Households speaking!!Spanish"
"S1602_C03_002M","Limited English-speaking households!!Margin of Error!!Households speaking!!Spanish"
"S1602_C04_002E","Percent limited English-speaking households!!Estimate!!Households speaking!!Spanish"
"S1602_C04_002M","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Spanish"
"S1602_C01_003E","Total!!Estimate!!Households speaking!!Other Indo-European languages"
"S1602_C01_003M","Total!!Margin of Error!!Households speaking!!Other Indo-European languages"
"S1602_C02_003E","Percent!!Estimate!!Households speaking!!Other Indo-European languages"
"S1602_C02_003M","Percent!!Margin of Error!!Households speaking!!Other Indo-European languages"
"S1602_C03_003E","Limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages"
"S1602_C03_003M","Limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages"
"S1602_C04_003E","Percent limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages"
"S1602_C04_003M","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages"
"S1602_C01_004E","Total!!Estimate!!Households speaking!!Asian and Pacific Island languages"
"S1602_C01_004M","Total!!Margin of Error!!Households speaking!!Asian and Pacific Island languages"
"S1602_C02_004E","Percent!!Estimate!!Households speaking!!Asian and Pacific Island languages"
"S1602_C02_004M","Percent!!Margin of Error!!Households speaking!!Asian and Pacific Island languages"
"S1602_C03_004E","Limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages"
"S1602_C03_004M","Limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages"
"S1602_C04_004E","Percent limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages"
"S1602_C04_004M","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages"
"S1602_C01_005E","Total!!Estimate!!Households speaking!!Other languages"
"S1602_C01_005M","Total!!Margin of Error!!Households speaking!!Other languages"
"S1602_C02_005E","Percent!!Estimate!!Households speaking!!Other languages"
"S1602_C02_005M","Percent!!Margin of Error!!Households speaking!!Other languages"
"S1602_C03_005E","Limited English-speaking households!!Estimate!!Households speaking!!Other languages"
"S1602_C03_005M","Limited English-speaking households!!Margin of Error!!Households speaking!!Other languages"
"S1602_C04_005E","Percent limited English-speaking households!!Estimate!!Households speaking!!Other languages"
"S1602_C04_005M","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other languages"
