fips5,year,pqi_id,pqi_name,outcome_rate,pqi_count,pqi_population
06001,2005,1,Diabetes Short-term Complications,47.3,538.0,1102068.0
06001,2006,1,Diabetes Short-term Complications,42.0,479.0,1106823.0
06001,2007,1,Diabetes Short-term Complications,41.3,475.0,1117973.0
06001,2008,1,Diabetes Short-term Complications,45.5,531.0,1136417.0
06001,2009,1,Diabetes Short-term Complications,49.4,586.0,1155287.0
06001,2010,1,Diabetes Short-term Complications,51.3,614.0,1169910.0
06001,2011,1,Diabetes Short-term Complications,50.1,607.0,1186810.0
06001,2012,1,Diabetes Short-term Complications,50.9,598.0,1173980.0
06001,2013,1,Diabetes Short-term Complications,51.2,612.0,1197759.0
06001,2014,1,Diabetes Short-term Complications,50.2,601.0,1192027.0
06001,2015,1,Diabetes Short-term Complications,49.9,454.0,923607.0
06001,2016,1,Diabetes Short-term Complications,64.5,716.0,1304840.0
06001,2017,1,Diabetes Short-term Complications,55.3,618.0,1314687.0
06001,2018,1,Diabetes Short-term Complications,58.0,651.0,1323933.0
06001,2019,1,Diabetes Short-term Complications,56.7,637.0,1329186.0
06001,2020,1,Diabetes Short-term Complications,55.7,634.0,1344023.0
06001,2021,1,Diabetes Short-term Complications,59.2,657.0,1317990.0
06001,2022,1,Diabetes Short-term Complications,59.3,654.0,1311253.0
06001,2023,1,Diabetes Short-term Complications,72.0,745.0,1306255.0
06001,2024,1,Diabetes Short-term Complications,69.1,787.0,1332423.0
06003,2005,1,Diabetes Short-term Complications,0.0,0.0,979.0
06003,2006,1,Diabetes Short-term Complications,0.0,0.0,1001.0
06003,2007,1,Diabetes Short-term Complications,0.0,0.0,1009.0
06003,2008,1,Diabetes Short-term Complications,0.0,0.0,957.0
06003,2009,1,Diabetes Short-term Complications,0.0,0.0,947.0
06003,2010,1,Diabetes Short-term Complications,0.0,0.0,895.0
06003,2011,1,Diabetes Short-term Complications,0.0,0.0,888.0
06003,2012,1,Diabetes Short-term Complications,0.0,0.0,2975.0
06003,2013,1,Diabetes Short-term Complications,0.0,0.0,2967.0
06003,2014,1,Diabetes Short-term Complications,0.0,0.0,2018.0
06003,2015,1,Diabetes Short-term Complications,0.0,0.0,3000.0
06003,2016,1,Diabetes Short-term Complications,0.0,0.0,860.0
06003,2017,1,Diabetes Short-term Complications,0.0,0.0,909.0
06003,2018,1,Diabetes Short-term Complications,0.0,0.0,886.0
06003,2019,1,Diabetes Short-term Complications,0.0,0.0,909.0
06003,2020,1,Diabetes Short-term Complications,0.0,0.0,981.0
06003,2021,1,Diabetes Short-term Complications,83.4,1.0,1019.0
06003,2022,1,Diabetes Short-term Complications,0.0,0.0,998.0
06003,2023,1,Diabetes Short-term Complications,0.0,0.0,955.0
06003,2024,1,Diabetes Short-term Complications,0.0,0.0,928.0
06005,2005,1,Diabetes Short-term Complications,40.3,12.0,31101.0
06005,2006,1,Diabetes Short-term Complications,30.0,9.0,31460.0
06005,2007,1,Diabetes Short-term Complications,42.9,13.0,31883.0
06005,2008,1,Diabetes Short-term Complications,40.2,12.0,31619.0
06005,2009,1,Diabetes Short-term Complications,16.7,5.0,31769.0
06005,2010,1,Diabetes Short-term Complications,33.7,10.0,31720.0
06005,2011,1,Diabetes Short-term Complications,30.4,9.0,31760.0
06005,2012,1,Diabetes Short-term Complications,41.9,13.0,32614.0
06005,2013,1,Diabetes Short-term Complications,68.9,21.0,32252.0
06005,2014,1,Diabetes Short-term Complications,77.0,24.0,33225.0
06005,2015,1,Diabetes Short-term Complications,47.1,11.0,24635.0
06005,2016,1,Diabetes Short-term Complications,64.4,17.0,31586.0
06005,2017,1,Diabetes Short-term Complications,54.8,15.0,32677.0
06005,2018,1,Diabetes Short-term Complications,89.2,25.0,33425.0
06005,2019,1,Diabetes Short-term Complications,92.4,26.0,33684.0
06005,2020,1,Diabetes Short-term Complications,62.7,18.0,34367.0
06005,2021,1,Diabetes Short-term Complications,89.3,26.0,34879.0
06005,2022,1,Diabetes Short-term Complications,106.1,31.0,35068.0
06005,2023,1,Diabetes Short-term Complications,143.6,44.0,35299.0
06005,2024,1,Diabetes Short-term Complications,102.6,30.0,35459.0
06007,2005,1,Diabetes Short-term Complications,76.3,130.0,165310.0
06007,2006,1,Diabetes Short-term Complications,73.1,126.0,167351.0
06007,2007,1,Diabetes Short-term Complications,81.2,140.0,168208.0
06007,2008,1,Diabetes Short-term Complications,86.4,150.0,169793.0
06007,2009,1,Diabetes Short-term Complications,66.1,115.0,170726.0
06007,2010,1,Diabetes Short-term Complications,82.1,143.0,171576.0
06007,2011,1,Diabetes Short-term Complications,84.0,148.0,172643.0
06007,2012,1,Diabetes Short-term Complications,99.7,170.0,169573.0
06007,2013,1,Diabetes Short-term Complications,97.3,167.0,170817.0
06007,2014,1,Diabetes Short-term Complications,102.9,183.0,175975.0
06007,2015,1,Diabetes Short-term Complications,90.2,116.0,128928.0
06007,2016,1,Diabetes Short-term Complications,90.5,201.0,180760.0
06007,2017,1,Diabetes Short-term Complications,74.4,167.0,182932.0
06007,2018,1,Diabetes Short-term Complications,77.1,174.0,184337.0
06007,2019,1,Diabetes Short-term Complications,85.4,183.0,174575.0
06007,2020,1,Diabetes Short-term Complications,83.2,172.0,167698.0
06007,2021,1,Diabetes Short-term Complications,86.2,174.0,164365.0
06007,2022,1,Diabetes Short-term Complications,97.0,198.0,165784.0
06007,2023,1,Diabetes Short-term Complications,94.6,200.0,164973.0
06007,2024,1,Diabetes Short-term Complications,104.6,220.0,166368.0
06009,2005,1,Diabetes Short-term Complications,29.6,10.0,35913.0
06009,2006,1,Diabetes Short-term Complications,40.7,14.0,36599.0
06009,2007,1,Diabetes Short-term Complications,107.2,37.0,36944.0
06009,2008,1,Diabetes Short-term Complications,87.0,30.0,37092.0
06009,2009,1,Diabetes Short-term Complications,138.0,47.0,36875.0
06009,2010,1,Diabetes Short-term Complications,118.2,40.0,36801.0
06009,2011,1,Diabetes Short-term Complications,80.5,27.0,36652.0
06009,2012,1,Diabetes Short-term Complications,68.8,24.0,37597.0
06009,2013,1,Diabetes Short-term Complications,63.3,22.0,37646.0
06009,2014,1,Diabetes Short-term Complications,69.9,25.0,38886.0
06009,2015,1,Diabetes Short-term Complications,94.4,25.0,28698.0
06009,2016,1,Diabetes Short-term Complications,51.9,18.0,37568.0
06009,2017,1,Diabetes Short-term Complications,97.5,34.0,37872.0
06009,2018,1,Diabetes Short-term Complications,57.4,20.0,37987.0
06009,2019,1,Diabetes Short-term Complications,54.3,19.0,38289.0
